run,condition,avg_dc,avg_ic,avg_total_dc,avg_total_ic,avg_total_c,avg_perc_junk1,avg_perc_junk2,final_dc,final_ic,final_total_dc,final_total_ic,final_total_c,final_perc_junk1,final_perc_junk2,init_dc,init_ic,init_total_dc,init_total_ic,init_perc_junk1,init_perc_junk2
1.00,0.00,22602069.82,9569931.08,147879997.91,175987889.71,323867887.62,62.77,62.61,34193104.51,22443982.69,157320506.16,186005203.32,343325709.48,61.53,61.68,21038590.09,6856698.47,154747042.75,184473682.43,97.00,93.00
2.00,0.00,20181613.70,6701840.60,147406475.66,175706086.90,323112562.56,62.70,62.56,32521628.72,20463387.49,156993509.54,185810600.92,342804110.46,61.46,61.65,19199966.72,4678043.75,154387346.46,184259619.79,97.00,93.00
3.00,0.00,21756780.64,8568315.79,147714631.04,175889476.50,323604107.54,62.72,62.55,34092815.96,22325146.98,157300886.36,185993527.17,343294413.53,61.49,61.65,19701409.46,5272222.31,154485445.45,184318000.51,97.00,93.00
4.00,0.00,21162212.82,7863789.79,147598313.67,175820253.64,323418567.31,62.76,62.67,33775235.56,21948833.89,157238757.01,185956552.72,343195309.73,61.50,61.81,19835127.52,5430669.92,154511605.18,184333568.70,97.00,93.00
5.00,0.00,22759666.11,9756672.91,147910829.02,176006237.94,323917066.96,62.77,62.54,34694547.24,23038161.25,157418605.15,186063584.04,343482189.19,61.51,61.62,21774039.43,7728160.36,154890921.26,184559307.48,97.00,93.00
6.00,0.00,22086300.15,8958775.99,147779096.09,175927840.97,323706937.06,62.86,62.47,34794835.79,23156996.96,157438224.95,186075260.18,343513485.13,61.66,61.53,20771153.96,6539803.24,154694723.29,184442546.04,97.00,93.00
7.00,0.00,19999343.24,6485861.41,147370817.45,175684865.97,323055683.42,62.69,62.66,32371195.90,20285133.92,156964079.84,185793086.70,342757166.54,61.43,61.76,18297369.80,3608522.34,154210768.29,184154534.49,97.00,93.00
8.00,0.00,20626544.63,7229056.18,147493519.04,175757888.21,323251407.25,62.79,62.48,33591373.22,21730968.42,157202787.38,185935146.45,343137933.83,61.54,61.58,19751553.73,5331640.16,154495255.35,184323838.58,97.00,93.00
9.00,0.00,22793891.57,9797227.96,147917524.66,176010222.65,323927747.31,62.68,62.54,34577543.94,22899519.59,157395715.38,186049961.87,343445677.25,61.44,61.63,21673750.88,7609324.64,154871301.46,184547631.34,97.00,93.00
10.00,0.00,22349756.57,9270955.52,147830636.99,175958514.01,323789151.00,62.79,62.59,33992527.41,22206311.27,157281266.57,185981851.03,343263117.60,61.53,61.70,20704294.93,6460579.43,154681643.42,184434761.95,97.00,93.00
11.00,0.00,22536006.73,9491650.41,147867073.76,175980198.28,323847272.04,62.67,62.57,33775235.56,21948833.89,157238757.01,185956552.72,343195309.73,61.41,61.68,21690465.64,7629130.60,154874571.43,184549577.36,97.00,93.00
